질병명,권장식품,주의사항
식도정맥류,"밥, 감자, 고구마, 떡 등의 부드러운 곡류 식품, 양질의 단백질 식품( 살코기, 생선, 두부, 계란 , 콩 등),채소, 과일",식도에 자극적인 약물은 피하는 것이 좋습니다.
식중독,"초기 - 쌀미음, 국물(고기, 생선), 삶은 채소(당근, 호박, 오이, 시금치, 양송이, 가지 등), 보리차, 익힌 생선, 고기, 과일즙 / 회복기 - 쌀밥, 살코기, 계란 두부, 닭고기, 생선, 유제품, 잘 익힌 시금치, 애호박, 당근, 숙주, 양송이 가지, 양상치, 바나나, 과일통조림","맑은 유동식은 대부분의 영양소가 부족하므로 1~2일 이상은 섭취하지 않도록 합니다.  상태가 호전되면 비교적 소화되기 쉬운 저지방, 부드러운 식사로 진행하며, 소량씩 자주 먹는 것이 좋습니다.  비타민C, 엽산 및 무기질 등이 결핍될 수 있으므로 보충이 필요할 수 있습니다. "
식품 알레르기,식품 알레르기 원인 식품을 제외한 모든 식품 및 음식을 먹도록 합니다.,식품 알레르기의 유일한 치료법은 원인 식품에 대한 엄격한 회피요법입니다. 따라서 원인 식품이 무엇인지를 정확히 진단하는 것이 중요합니다. 정확한 진단없이 부모의 짐작만으로 특정 식품을 제한하게 되면 영양적 불균형과 성장 장애를 초래할 수 있으므로 오히려 해가 될 수 있습니다. 또한 식품 알레르기를 진단받은 후에는 원인 식품의 영양소를 포함하고 있는 대체 식품을 찾아 섭취해야 영양결핍을 예방할 수 있습니다. 만약 적절한 대체식품을 찾지 못한 경우에는 부족될 수 있는 영양소를 별도로 처방받아 복용하는 것이 필요할 수 있습니다.
신증후군,"고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다. 백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오. 외식시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다. ",단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하므로 밥 1공기정도의 충분한 식사량을 유지합니다. 신선한 채소와 과일을 섭취합니다.
심근경색,"신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","회복 정도에 따라 급성기인 처음 24시간 동안은 미음 섭취하고 그 후 적응도에 따라 죽->밥으로 서서히 진전시킵니다. 카페인에 의해 특히 위험한 심부정맥이 발생될 수 있으므로 카페인 함유 음료를 제한합니다. Hyperhomocysteinemia인 경우 엽산, 비타민 B6, 비타민 B12가 많이 함유된 식품 (잡곡, 살코기, 콩류, 푸른잎 채소 등)을 선택합니다. "
십이지장궤양,오메가-3 지방산이 풍부한 등푸른 생선,금연은 궤양치료에 도움이 될 뿐 아니라 입맛을 좋게 하므로 담배를 끊는 것이 좋습니다. 개인에 따라 불쾌감을 주는 음식이나 음료는 삼가합니다. 잦은 우유 섭취는 위산 분비량 증가의 원인이 되므로 주의합니다.
아토피성 피부염,"식품 알레르기와 같이 있는 경우 알레르기 원인 식품을 제외한 모든 음식, 특히 단백질과 아연이 풍부한 육류를 충분히 섭취하는 것이 좋습니다","아토피 피부염을 일으킬 수 있는 원인 식품은 여러 가지가 있으나, 그 중 계란, 우유, 달걀, 콩, 땅콩, 밀가루가 흔합니다. 하지만 이 모든 식품들을 무조건 피할 경우 성장장애 등의 더 큰 문제로 이어질 수 있으므로 식품 알레르기가 의심되면 알레르겐(항원) 검사를 통해 이를 정확히 진단한 후, 올바른 식사요법을 시행하는 것이 중요합니다. "
알츠하이머,"삼킴 장애(곤란)가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살, 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다. 사래가 자주 걸릴 경우는 물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취해 볼 수 있습니다. 수분섭취가 부족하지 않도록 물, 유제품, 과일등을 식간에 섭취합니다. 손가락으로 집을 수 있도록 음식의 크기를 적당히 잘라주십시오. ","식사량을 증가시키고 기능적 독립성을 유지하기 위해서는 식탁에 너무 여러 음식을 차려놓지 말고, 한번에 한두가지 음식만 앞에 놓아두고, 손에 숟가락을 쥐게 하여 한술 떠서 입에 넣도록 도와줍니다. 손가락을 이용하여 집을 수 있는 음식을 이용하는 것도 도움이 됩니다. 서두르지 말고 천천히 식사하도록 도와줍니다."
알콜성간질환,"밥, 감자, 고구마, 떡 등의 곡류 식품, 양질의 단백질 식품( 살코기, 생선, 두부, 계란 , 콩 등),채소, 과일",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화 시킬수 있으므로 주의합니다.
열량조절,"채소류,  해조류, 곤약, 무가당 차음료(녹차 등), 물(보리차, 생수, 탄산수 등)",규칙적인 운동을 병행합니다.  행동수정 요법(자기관찰/자기조절)을 병행합니다. 초저열량식사는 부작용이 따르는 식사요법으로 전문가의 관찰과 통제 하에 실시합니다. 외식은 하루 한번 이상하지 않습니다. 
요로결석,"충분한 수분(시간당 250~300ml), 고섬유소 식품",비타민 C 보충제는 요중 수산 배설을 증가시키므로 하루 1g 이하로 제한합니다.?
위궤양,"부드럽게 조리된 단백질 식품(살코기, 흰살생선, 계란찜 등)",
위식도역류질환,"기름이 적은 육고기, 생선, 두부, 계란 등 양질의 단백질 식품, 각종 채소류(브로콜리, 양파, 마늘, 완두콩, 더덕, 도라지, 당근, 오이 등)",몸에 꽉 죄는 옷은 복압을 증가시켜 위산 역류를 자극할 수 있으므로 피하는 것이 좋으며 잠을 잘 때는 상체를 높여주는 것이 좋습니다.
위암,"수술 전 - 양질의 단백질 식품(고기, 생선, 두부, 계란, 해물), 우유 및 유제품/ 수술 후 - 부드러운 음식(영양죽, 카스텔라, 감자, 잔치국수, 부드럽게 조리한 어육류, 해물, 두부, 계란, 치즈, 생과일주스, 우유 및 유제품, 영양보충음료) ",수술 후 1-2달은 천천히 꼭꼭 씹어 섭취하는 것이 무엇보다 중요합니다. 한끼 식사는 30분 가량 하며 식후 30분 후에 걷는 운동을 많이 하는 것이 좋습니다. 
윌슨병,"쌀밥, 국수, 쇠고기, 닭고기, 계란흰자, 흰살생선, 우유, 채소류, 과일, 식물성 기름, 설탕 등","잡곡류, 내장류, 대두, 오징어, 새우, 양송이 버섯, 말린과일, 견과류, 코코아 등"
유방암,"도정되지 않은 곡류, 등푸른 생선, 저지방고칼슘 우유, 제철 채소, 제철 과일",일시적인 식사 요법의 준수가 아닌 꾸준히 지키는 것이 병을 예방하는 지름길 입니다. 
임신성 당뇨,"비타민 C가 풍부한 채소 섭취, 칼슘보충을 위해 하루 2잔정도의 유제품 섭취, 열량이 적은 식품(곤약, 해조류, 버섯류, 우뭇가사리 등) 섭취 ","아침 첫 소변검사를 통해 케톤체가 발생되는지 확인하며, 케톤 발생 시 취침 전 간식량을 늘립니다.  변비 예방을 위해 섬유소 섭취를 충분히 섭취합니다. 알코올은 임신기간 중 금주를 원칙으로 합니다. 카페인은 하루 300mg 이하(커피 2잔정 도의 양)로 제한합니다. 임신성 고혈압을 예방하기 위하여 너무 짠 음식은 섭취를 피합니다"
임신성고혈압,"칼슘이 풍부한 식품(유제품, 콩류, 들깨, 참깨, 멸치, 뱅어포 등) 단, 멸치 등의 건어물은 염분 함량 높으므로 주의해야합니다. 엽산이 풍부한 식품(간, 굴, 대구, 콩, 계란, 녹색잎 채소), 식이섬유소와 칼륨이 풍부한 식품(잡곡류, 신선한 채소, 제철 과일)",술과 흡연은 절대 금합니다. 임신 주기에 알맞은 체중을 유지합니다. 임신 후반기에는 (임신 20∼24주 이후) 주치의와 상의하여 철분과 엽산보충제를 복용합니다.
자궁경부암,"항암식품(브로콜리, 호박 등 ), 엽산이 풍부한 식품(시금치, 아스파라거스 등..), 해조류, 신선한 과일및 채소","암에 좋다는 음식보다는 소화가 잘되고 환자가 선호하는 음식으로 섭취하는 것이 좋습니다. 음식 간을 제한하지 않는 것이 좋습니다. 면역력 저하 시 식사요령과 부작용 시 영양관리 요령을 숙지합니다. 특정 음식을 제한하거나 편중해 섭취하지 않습니다. 회, 육회와 같은 동물성 날음식 섭취를 피해야합니다. 신체 활동량을 늘립니다."
자궁내 성장지연,"철분이 풍부한 식품(쇠간, 쇠고기, 굴, 부추, 시금치, 쑥갓, 근대와 같은 초록색 엽채)",
장폐색식/ 장유착식,"곡류: 흰밥, 흰식빵, 국수, 감자/ 어육류: 껍질을 제거한 육류(연한 쇠고기, 돼지고기, 계란, 두부, 생선, 닭고기)/ 채소류: 부드러운 채소류(양송이, 오이, 배추, 무, 양파, 가지, 양송이, 당근, 시금치) / 과일류: 씨와 껍질을 제거한 과일류(사과, 복숭아, 귤, 포도, 메론, 과일통조림, 주스)/ 우유 및 유제품: 우유, 요플레, 푸딩, 아이스크림/ 기타: 영양보충음료",장폐색의 원인과 경과에 따른 의료진의  정확한 판단하에 식사를 진행합니다. 수분과 전해질이 부족하지 않도록 주의합니다. 소량씩 식사를 진행해보고 장폐색 증상이 완전히 호전되면 일반식으로 전환하여 균형잡힌 영양을 섭취합니다.
저나트륨혈증,"고기, 생선, 두부 등의 양질의 단백질 식품, 신선한 채소류, 과일류 ","나트륨은 대부분의 식품에 약간씩 함유되어 있으므로 나트륨 결핍증은 드뭅니다. 따라서 나트륨을 과잉으로 장기간 섭취한 경우에는 고혈압, 부종 등의 나타날 수 있으므로 주의합니다."
저마그네슘혈증,"코코아, 아몬드, 땅콩, 호두, 잣, 대두, 보리, 현미, 통밀, 우유, 계란, 시금치, 무청, 근대, 컬리플라워, 브로컬리, 부추 당근 등",아연을 지나치게 많이(권장량의 10배) 섭취할 경우 마그네슘의 흡수율이 감소하여 마그네슘 결핍증이 생길 수 있으므로 주의합니다.
저신장증/왜소증/성장장애,영양소 함량은 낮으면서 열량이 지나치게 높은 음식을 자주 섭취하게 되면 비만해져서 성조숙증이 생길 수 있는데 성조숙증은 특히 키성장에 방해가 되므로 조심해야 합니다.,
저칼륨,"흰쌀 등의 도정된 곡류, 적당량의 채소(삶아 익힌 것 : 숙주, 고사리, 가지, 부추, 당근, 돗나물, 배추, 콩나물, 가지 등), 적당량의 과일(사과, 복숭아, 감, 배, 딸기, 포도, 귤, 거봉)","시중의 소금 대용품(저염소금, 저염 간장)에는 칼륨이 많이 함유되어 있으므로 칼륨 함량을 확인 후 사용하도록 합니다. 칼륨은 수용성이므로 조리 전 식품을 충분한 양의 물(10배)에 최소한 2시간 이상 담가 건진 후 사용하며 채소를 끓는 물에 데친 후 여러번 헹구어 사용하고 데쳐낸 물은 버리고 필요한 경우 다시 물을 넣어 조리합니다. 식물의 껍질이나 줄기에는 칼륨이 많으므로 껍질과 줄기를 제거하고 잎만을 사용합니다."
저퓨린,식품100g 당 퓨린 질소 함량,"체중감소를 위하여 지나친 음식 섭취 감소는 혈액 속 요산 농도를 오히려 상승시켜 통풍을 악화시킬 수 있습니다. 고혈압, 당뇨, 고지혈증 등의 합병증의 우려가 있으므로 염분은 가급적 제한하는 것이 바람직합니다.  고지방 식사는 요산의 정상적 배설을 방해하므로 튀김, 전 등의 섭취를 제한합니다. "
저혈당증,"설탕, 사탕, 주스, 음료수, 요쿠르트 등","식사 간격을 적절하게 조정하여 규칙적으로 식사하고 공복시간이 길지 않게 합니다. 저혈당 발생에 대비해 단순당을 휴대하도록 합니다. 저혈당 발생 빈도와 증상을 관찰하여 식사 중 당질의 양과 활동 정도를 적절히 조절합니다. 저녁 식사시간이 빠르거나 약물요법을 1일 2회(저녁식사 이전 투여하는 경우) 사용하는 경우, 새벽에 심한 저혈당이 발생할 수 있으므로 취침 전 간식을 섭취하도록 합니다."
저혈압,"비타민과 무기질, 섬유소가 풍부한 음식(잡곡류, 신선한 채소, 제철 과일)",절대 금주합니다.
전리암,"전곡류, 신선한 채소, 과일류, 라이코펜 함유 식품(토마토 요리)",일시적인 식사 요법의 준수가 아닌 꾸준히 지키는 것이 병을 예방하는 지름길 입니다. 
전이성간암,"현미, 보리, 서리태와 같은 잡곡 및 두류 , 파프리카, 당근, 단호박, 양배추, 케일, 가지 등의 다양한 색의 채소, 과일류","환자의 질환과 치료상태에 따라 식사요법의 원칙이 달라질수 있으므로 의료진, 영양전문가와 상의합니다. 간기능 정도와 증상이나 합병증 (복수, 부종, 혼수, 간경화, 정맥류 등) 유무에 따라 식사요법에 차이가 있으므로 전문가와 상의합니다. 간 기능이 저하된 상태에서 효과가 검증되지 않은 여러 민간, 대체 요법의 사용은 급격한 간기능의 악화를 가져오기도 하므로 맹신하지 말고 전문의와 꼭 상의해야 합니다. 그리고 반드시 금연, 금주해야 합니다."
전이성폐암,"양질의 단백질 식품(살코기, 생선, 해물, 콩, 두부, 계란), 신선한 채소, 과일, 식물성 지방(견과류), 우유 및 유제품","식욕저하 및 다른 이유로 정상적인 식사 섭취가 어려울 경우 시간과 장소, 식품의 종류에 구애받지 말고 원하는 대로 섭취하여 체중을 유지하는 것이 무엇보다 중요하겠습니다. 식사 섭취가 부족할 경우 상업용 영양음료의 섭취를 병행합니다. "
제대혈조혈모세포,"잘 익힌 생선이나 살코기, 잘 씻은 채소, 껍질 벗긴 과일","제대조혈모세포 이식 직후에는 멸균식(sterile diet)을 하도록 합니다. 동물성 식품을 익혀서 섭취합니다. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다.  조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다. 조리 전, 식사 전에 손을 깨끗이 씻도록 합니다. 공식품은 유통기한을 확인하도록 합니다."
지방간,"채소, 균형적인 식사",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다. 
천식,"살코기, 생선, 두부, 신선한 채소 및 과일","주변환경관리(대기오염, 집먼지 진드기, 꽃가루 등)에 유의하도록 합니다."
췌장암,"감자, 스프, 카스텔라, 살코기(돼지고기, 쇠고기, 닭고기), 두부, 생선, 두부, 저지방우유, 치즈 등",증상 및 치료(수술 등)에 따라서 식사요법은 달라질 수 있습니다.
콜레라,"초기 - 쌀미음, 국물(고기, 생선),삶은채소(당근, 호박, 오이, 시금치, 양송이, 가지 등), 보리차, 익힌 생선, 고기, 과일즙/ 회복기 - 쌀밥, 살코기, 계란, 두부, 닭고기, 생선, 유제품, 잘 익힌 시금치, 애호박, 당근, 숙주, 양송이, 가지, 양상치, 바나나, 과일통조림",맑은 유동식은 대부분의 영양소가 부족하므로 1~2일 이상은 피합니다. 소장점막의 손상으로 당분간 유당 분비가 감소될 수 있으므로 유제품 섭취에 주의합니다.
크론병,"흰밥, 연한 쇠고기, 돼지고기 살코기, 계란, 두부, 생선, 애호박, 가지, 양송이 버섯 등 부드러운 야채, 과일(씨, 껍질 제거), 영양 보충 음료 등",증상 및 치료(수술 등)에 따라서 식사요법은 달라질 수 있습니다.
파킨슨증후군,"물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취할 수 있습니다. 삼킴 장애가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다. 우유 대신 요거트를 권장합니다. ","삼킴곤란 시는 흐르는 액체 형태의 물, 주스, 우유등은 기도로의 흡인의 가능성이 있으므로 사래나 기침 등의 증상이 있는 경우 정확한 의료진의 진단이 필요합니다. 식사 섭취 시 작은 숟가락을 사용합니다.  베개로 등뒤와 옆구리를 받치거나 의자에 허리를 펴고 앉아 턱은 약간 아래로 향하도록 하여 식사합니다. 보호자의 관찰 하에 식사합니다. 탈수를 방지하기위해 점도증진제를 적절히 이용하여 수분 섭취를 합니다."
패혈증,"양질의 살코기, 생선, 두부, 계란 등의 단백질식품, 신선한 채소류, 과일류, 달지 않은 식품",심한 패혈증의 경우 환자가 혈류 역학적으로 불안정하고 조직 내로 산소운반이 부적절할 경우에는 당분간 구강 영양지원을 중단하는 것이 좋습니다.
페닐케톤뇨증/PKU,"페닐알라닌 함량이 낮은 과일류, 채소류, 저단백밥",인공감미료인 아스파탐은 페닐알라닌 함량이 높으므로 페닐케톤뇨증 아동에게 사용해서는 안됩니다. 따라서 식품 성분표를 항상 확인하는 것이 중요합니다. BH4 반응형 전형적 페닐케톤뇨증에서는 저페닐알라닌 식사요법이 필요하지 않으며 일상적인 식사가 가능합니다.
폐경기 및 여성의 갱년기,"고칼슘식품 : 우유,  치즈, 두부, 뼈째먹는 생선, 미역 등 / 비타민 E 가 풍부한 식품 : 식물성 기름, 견과류, 과일 등 ",
폐렴,"부드러운 살코기, 생선, 요구르트, 다양한 색상의 과일이나 채소",잦은 가래 배출로 몸에 수분이 부족하기 쉬우므로 수시로 과일쥬스나 물 등으로 보충하도록 합니다.
프라더 윌리 증후군,"잡곡밥, 신선한 채소와 과일(당뇨가 있는 경우는 별도의 양 조절 필요), 해조류, 콩 및 두부류",기름지지 않은 음식이라 하더라도 식욕만큼 배를 채우게 되면 체중이 쉽게 늘어나므로 전체 섭취량을 조절하는 것이 중요합니다.
프로피온산혈증/프로피온산증,"쌀, 고구마, 감자 등 탄수화물 식품과 식물성 기름, 버터류, 모든 채소와 과일류","여러가지 감염, 예방접종, 외상, 마취 및 수술과 같은 상황이 발생하면 단백질 섭취를 제한하고 탄수화물 섭취를 늘리는 것이 필요합니다. 이러한 상황들의 일부는 예측이 가능하며, 환자의 질병 종류와 대사 상태에 따라서 식이요법을 조정할 필요가 있습니다. 하지만 감염과 같은 경우는 예측이 불가능하며 따라서 악화되지 않도록 미리 예방하는 것이 어렵습니다. 미리 예방하기 위해 지속적으로 단백질을 더 제한한다면 만성 영양결핍과 대사의 불균형 상태를 초래할 수 있으므로 단백질의 과다한 투여를 피하고, 단백질의 분해와 대사의 불균형이 초래될 수 있는 상황을 빨리 알 수 있도록 보호자는 지속적으로 교육을 받아야 합니다."
항문암,"수술직후 : 쌀밥, 흰국수, 생선, 계란, 두부, 육류(결체조직 및 껍질 제외), 유제품","수술 직후 약 6주간 고섬유식품 섭취를 줄이도록 합니다.  수술 부위, 장루의 유무에 따른 식사요법이 필요합니다. (저잔사식) 수술 후 2달뒤 정상식사 시 충분한 섬유소 섭취가 권장됩니다. "
허혈성심장질환,"신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","오메가-3 지방산은 에이코사펜타엔산(EPA), 도코사헥사엔산(DHA) 등으로 주로 생선기름에 많이 포함되어 있습니다. 생선을 많이 먹는 알래스카 원주민에서 심혈관계 질환의 사망률이 낮은 것이 관찰되었고 이후 오메가-3의 효능에 대한 많은 연구들에서 오메가-3가 심혈관계 사망률을 낮춘다는 결과를 보고하였습니다. 오메가-3는 혈소판 응집과 염증반응을 감소시키고, 혈중 중성지방의 농도를 감소시키고, 심박수와 혈압을 강하시켜 심혈관계 질환으로 인한 사망을 감소시키는 것으로 생각되고 있습니다."
협심증,"신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","소량씩 자주 먹습니다. 상태에 따라 포화지방산, 콜레스테롤, 염분 섭취를 제한합니다. 섬유소 섭취를 점차로 증가시키며 이때 수분도 부족하지 않게 섭취합니다. 카페인 섭취를 줄입니다. 과체중인 경우 열량제한식을 병행합니다."
호모시스틴뇨증,"곡류, 채소류, 과일류, 식물성 기름 ","처방된 분유를 전량 먹이지 못하고 지속적으로 남기게 되면 필수영양소 결핍, 성장지연 등의 결과를 초래할 수 있습니다. "
화상,"곡류(쌀밥, 잡곡밥, 감자, 고구마, 떡 등),육류(살코기), 어류(생선, 조개류 등), 두부, 콩, 달걀, 신선한 채소, 견과류(땅콩, 호두, 잣 등), 신선한 과일, 유제품(우유, 두유, 요구르트, 요거트, 저지방우유)","식사섭취량이 충분치 않을 경우 필요시 칼슘, 비타민E, 비타민A, 아연 등을 보충합니다. 대사적 스트레스로 인한 고혈당을 악화시킬 수 있어 과다한 단음식은 피합니다."
후두암,"현미, 보리, 서리태와 같은 잡곡 및 두류, 파프리카, 당근, 단호박, 양배추, 케일, 가지등의 다양한 색의 채소, 과일류","환자의 질환과 치료상태에 따라 식사요법의 원칙이 달라질수 있으므로 의료진, 영양전문가와 상의합니다. 항암-방사선 병용요법으로 치료를 받은경우 충분한 열량과 단백질(고기, 생선, 콩, 두부, 계란, 해물)을 섭취하여 체중이 감소되지 않도록 주의하며 필요에 따라 상업용 영양보충음료를 병행하도록 합니다. 절대적으로 금연합니다. "
후천성면역결핍증,"양질의 살코기, 생선, 두부, 계란 등의 단백질 식품, 신선한 채소류, 과일류, 달지 않은 식품 ",흡수불량이 의심되는 경우에는 저지방식과 중쇄중성지방을 이용할 수 있습니다. 
